"Titre de tracé : 20347223"
"Date";"Heure, GMT+02:00";"Temp., °C (LGR S/N: 20347223, SEN S/N: 20347223)";"Coupleur attaché (LGR S/N: 20347223)";"Hôte connecté (LGR S/N: 20347223)";"Arrêté (LGR S/N: 20347223)";"Fin de fichier (LGR S/N: 20347223)"
2022-07-28;12:24:10;20,996;;;;
2022-07-28;12:24:20;20,805;;;;
2022-07-28;12:24:30;20,710;;;;
2022-07-28;12:24:40;20,615;;;;
2022-07-28;12:24:50;20,519;;;;
2022-07-28;12:25:00;20,519;;;;
2022-07-28;12:25:10;20,424;;;;
2022-07-28;12:25:20;20,329;;;;
2022-07-28;12:25:30;20,329;;;;
2022-07-28;12:25:40;20,424;;;;
2022-07-28;12:25:50;20,424;;;;
2022-07-28;12:26:00;20,996;;;;
2022-07-28;12:26:10;20,996;;;;
2022-07-28;12:26:20;21,187;;;;
2022-07-28;12:26:30;21,091;;;;
2022-07-28;12:26:40;21,091;;;;
2022-07-28;12:26:50;20,901;;;;
2022-07-28;12:27:00;20,901;;;;
2022-07-28;12:27:10;21,187;;;;
2022-07-28;12:27:20;20,996;;;;
2022-07-28;12:27:30;20,805;;;;
2022-07-28;12:27:40;20,710;;;;
2022-07-28;12:27:50;20,615;;;;
2022-07-28;12:28:00;20,710;;;;
2022-07-28;12:28:10;20,710;;;;
2022-07-28;12:28:20;20,710;;;;
2022-07-28;12:28:30;21,282;;;;
2022-07-28;12:28:40;21,473;;;;
2022-07-28;12:28:50;21,569;;;;
2022-07-28;12:29:00;21,187;;;;
2022-07-28;12:29:10;21,282;;;;
2022-07-28;12:29:20;21,187;;;;
2022-07-28;12:29:30;21,282;;;;
2022-07-28;12:29:40;21,664;;;;
2022-07-28;12:29:50;22,238;;;;
2022-07-28;12:30:00;22,717;;;;
2022-07-28;12:30:10;22,812;;;;
2022-07-28;12:30:20;22,908;;;;
2022-07-28;12:30:30;23,100;;;;
2022-07-28;12:30:40;23,100;;;;
2022-07-28;12:30:50;22,717;;;;
2022-07-28;12:31:00;23,004;;;;
2022-07-28;12:31:10;23,004;;;;
2022-07-28;12:31:20;22,908;;;;
2022-07-28;12:31:30;22,333;;;;
2022-07-28;12:31:40;22,238;;;;
